Date,Open,High,Low,Close,Volume
2017-04-20,859.74,863.93,857.5,860.08,1188843
2017-04-21,860.62,862.44,857.73,858.95,1172870
2017-04-24,868.44,879.96,866.11,878.93,1696483
2017-04-25,882.26,892.25,879.28,888.84,2038032
2017-04-26,891.39,892.99,885.15,889.14,1323297
2017-04-27,890.0,893.38,887.18,891.44,2342303
2017-04-28,929.0,935.9,923.22,924.52,3845857
2017-05-01,924.15,935.82,920.8,932.82,2327782
2017-05-02,933.27,942.98,931.0,937.09,1751292
2017-05-03,936.05,950.2,935.21,948.45,1824759
2017-05-04,950.29,959.14,947.37,954.72,1938260
2017-05-05,956.72,958.44,948.1,950.28,1615548
2017-05-08,947.45,960.99,947.4,958.69,1876690
2017-05-09,961.33,962.2,954.4,956.71,1687942
2017-05-10,956.22,956.71,949.84,954.84,1145969
2017-05-11,951.29,957.99,948.61,955.89,1031093
2017-05-12,957.85,957.98,952.06,955.14,1214851
2017-05-15,955.29,962.7,952.82,959.22,1337697
2017-05-16,963.55,965.9,960.35,964.61,1101544
2017-05-17,959.7,960.99,940.06,942.17,2449058
2017-05-18,943.2,954.18,941.27,950.5,1800465
2017-05-19,952.82,959.56,952.0,954.65,1360299
2017-05-22,957.0,964.82,956.56,964.07,1387392
2017-05-23,969.96,974.51,964.5,970.55,1545421
2017-05-24,975.26,978.12,971.63,977.61,1142488
2017-05-25,979.0,995.78,977.82,991.86,1954149
2017-05-26,992.0,996.39,987.36,993.27,1636416
2017-05-30,992.5,997.62,991.36,996.17,1516685
2017-05-31,996.21,999.6,981.68,987.09,1724095
2017-06-01,990.96,993.14,981.29,988.29,1306384
2017-06-02,988.59,996.48,987.07,996.12,1735469
2017-06-05,997.89,1007.4,995.45,1003.88,1378916
2017-06-06,1003.31,1008.61,994.8,996.68,1552114
2017-06-07,998.82,1003.91,995.81,1001.59,1374097
2017-06-08,1004.23,1005.6,996.62,1004.28,1687925
2017-06-09,1005.49,1005.5,953.37,970.12,3647857
2017-06-12,958.72,968.0,936.8,961.81,4202109
2017-06-13,972.04,977.91,962.01,970.5,2005356
